
 LIST ALL SELECTED NODES.   DSYS=      0

   NODE        X           Y           Z         THXY    THYZ    THZX
      89   0.13334E-02 0.10000E-01  0.0000        0.00    0.00    0.00
      90   0.66660E-03 0.10000E-01  0.0000        0.00    0.00    0.00
      91   0.97628E-03 0.94616E-02  0.0000        0.00    0.00    0.00
      92   0.16372E-02 0.94177E-02  0.0000        0.00    0.00    0.00
      93   0.23233E-02 0.94210E-02  0.0000        0.00    0.00    0.00
      94   0.29916E-02 0.94201E-02  0.0000        0.00    0.00    0.00
      95   0.36667E-02 0.94226E-02  0.0000        0.00    0.00    0.00
      96   0.43333E-02 0.94226E-02  0.0000        0.00    0.00    0.00
      97   0.50000E-02 0.94227E-02  0.0000        0.00    0.00    0.00
      98   0.56667E-02 0.94226E-02  0.0000        0.00    0.00    0.00
      99   0.63333E-02 0.94226E-02  0.0000        0.00    0.00    0.00
     100   0.70000E-02 0.94227E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     101   0.76667E-02 0.94226E-02  0.0000        0.00    0.00    0.00
     102   0.83333E-02 0.94226E-02  0.0000        0.00    0.00    0.00
     103   0.90000E-02 0.94227E-02  0.0000        0.00    0.00    0.00
     104   0.96667E-02 0.94226E-02  0.0000        0.00    0.00    0.00
     105   0.10333E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     106   0.11000E-01 0.94227E-02  0.0000        0.00    0.00    0.00
     107   0.11667E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     108   0.12333E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     109   0.13000E-01 0.94227E-02  0.0000        0.00    0.00    0.00
     110   0.13667E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     111   0.14333E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     112   0.15000E-01 0.94227E-02  0.0000        0.00    0.00    0.00
     113   0.15667E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     114   0.16333E-01 0.94226E-02  0.0000        0.00    0.00    0.00
     115   0.17007E-01 0.94199E-02  0.0000        0.00    0.00    0.00
     116   0.17680E-01 0.94192E-02  0.0000        0.00    0.00    0.00
     117   0.18358E-01 0.94184E-02  0.0000        0.00    0.00    0.00
     118   0.19018E-01 0.94638E-02  0.0000        0.00    0.00    0.00
     119   0.19451E-01 0.90270E-02  0.0000        0.00    0.00    0.00
     120   0.19396E-01 0.83687E-02  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     121   0.19410E-01 0.76864E-02  0.0000        0.00    0.00    0.00
     122   0.19414E-01 0.70121E-02  0.0000        0.00    0.00    0.00
     123   0.19416E-01 0.63414E-02  0.0000        0.00    0.00    0.00
     124   0.19423E-01 0.56667E-02  0.0000        0.00    0.00    0.00
     125   0.19423E-01 0.50000E-02  0.0000        0.00    0.00    0.00
     126   0.19423E-01 0.43334E-02  0.0000        0.00    0.00    0.00
     127   0.19423E-01 0.36667E-02  0.0000        0.00    0.00    0.00
     128   0.19419E-01 0.29923E-02  0.0000        0.00    0.00    0.00
     129   0.19419E-01 0.23190E-02  0.0000        0.00    0.00    0.00
     130   0.19418E-01 0.16422E-02  0.0000        0.00    0.00    0.00
     131   0.19464E-01 0.98221E-03  0.0000        0.00    0.00    0.00
     132   0.19027E-01 0.54904E-03  0.0000        0.00    0.00    0.00
     133   0.18369E-01 0.60434E-03  0.0000        0.00    0.00    0.00
     134   0.17686E-01 0.59009E-03  0.0000        0.00    0.00    0.00
     135   0.17012E-01 0.58603E-03  0.0000        0.00    0.00    0.00
     136   0.16341E-01 0.58381E-03  0.0000        0.00    0.00    0.00
     137   0.15667E-01 0.57735E-03  0.0000        0.00    0.00    0.00
     138   0.15000E-01 0.57729E-03  0.0000        0.00    0.00    0.00
     139   0.14333E-01 0.57735E-03  0.0000        0.00    0.00    0.00
     140   0.13667E-01 0.57735E-03  0.0000        0.00    0.00    0.00

   NODE        X           Y           Z         THXY    THYZ    THZX
     141   0.13000E-01 0.57729E-03  0.0000        0.00    0.00    0.00
     142   0.12333E-01 0.57735E-03  0.0000        0.00    0.00    0.00
     143   0.11667E-01 0.57735E-03  0.0000        0.00    0.00    0.00
     144   0.11000E-01 0.57729E-03  0.0000        0.00    0.00    0.00
     145   0.10333E-01 0.57735E-03  0.0000        0.00    0.00    0.00
     146   0.96667E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     147   0.90000E-02 0.57729E-03  0.0000        0.00    0.00    0.00
     148   0.83333E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     149   0.76667E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     150   0.70000E-02 0.57729E-03  0.0000        0.00    0.00    0.00
     151   0.63333E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     152   0.56667E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     153   0.50000E-02 0.57729E-03  0.0000        0.00    0.00    0.00
     154   0.43333E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     155   0.36667E-02 0.57735E-03  0.0000        0.00    0.00    0.00
     156   0.29928E-02 0.58013E-03  0.0000        0.00    0.00    0.00
     157   0.23195E-02 0.58081E-03  0.0000        0.00    0.00    0.00
     158   0.16421E-02 0.58165E-03  0.0000        0.00    0.00    0.00
     159   0.98220E-03 0.53621E-03  0.0000        0.00    0.00    0.00
